name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M820T531_2_NEG,820.2680556,530.9596863,7618379.578,7394052.719,8293998.831,9141474.098,5886379.526,5635467.882,7652801.242,9085762.062,6357959.467,5989122.385,5615964.356,6681793.29,7080895.907,7407840.167,11480263.01
M821T234_NEG,821.3570852,233.6773682,3347079.972,3506678.602,321165.8356,3436070.757,3748549.15,5805788.451,516396.4558,1670541.992,768202.0989,901976.7874,2697451.432,1677021.273,1921220.432,1315887.168,2382587.784
M822T514_1_NEG,821.7662221,513.7702637,25311034.57,26667204.07,23646108.77,37146155.31,29924999.2,29987497.75,34416970.71,35028636.2,34695416.32,30259548.35,27967260.03,36455201.34,33186109.62,35566009.73,29051797.62
M822T514_2_NEG,822.2680912,513.6863403,15685526.69,18474221.47,16912969.96,22909931.24,19728175.2,20651605.34,21987192.3,24156614.51,22089411.44,21479314.15,19250967.3,23945940.02,23206284.38,23634431.56,20619490.19
M823T514_1_NEG,822.7672785,513.6863403,10306793.22,11133323.3,9546344.057,14830659.96,13389748.33,12160342.96,13238171.64,13273017.13,13148599.33,12750817.07,9770614.295,14000258.9,13841574.97,14310195.64,11178814.63
M823T514_2_NEG,823.268829,513.6429443,4721022.963,5562947.598,4860168.184,5246306.705,5286802.938,5732369.96,5081218.954,6628649.076,5172119.979,5314962.398,5674845.897,6609908.15,7070091.879,6080736.019,6400491.387
M824T514_NEG,823.7690234,513.8140869,1256141.942,1642685.515,1612378.399,1732255.056,1294835.723,1157892.915,1684858.617,1562134.016,978718.5445,1576175.626,1510111.295,1499224.845,1658076.223,1596920.189,1648687.126
M824T428_NEG,824.2457132,427.8199158,4063649.425,12620629.32,15530554.41,14527092.55,5165589.104,8327938.201,17518337.12,18157751.84,15009436.75,7249670.268,8167860.907,11479055.13,11400682.62,12567613.6,10358200.86
M825T428_NEG,825.2485447,427.6037598,1174667.963,3329416.845,4274888.014,5270483.287,1426606.226,2539384.487,5204611.492,6016735.875,4832951.861,2278392.3,2858050.704,4454332.615,2793690.318,4331997.714,4189146.286
M826T428_NEG,826.243746,427.7122803,1268320.242,4648620.447,5252725.186,5768174.382,1162625.918,2420555.143,6591013.907,7019890.026,5970330.903,3518714.901,2593551.232,4281600.274,3997941.496,4246243.96,4136390.402
M827T114_NEG,826.5615174,113.9848938,3574121.733,7058570.907,4895367.509,6969311.149,3576355.188,3502888.515,3255573.383,5810215.031,8004523.058,3953451.717,3384219.188,4349257.508,3333090.808,1910470.072,4817056.136
M827T478_NEG,827.2666044,477.6879731,269669124.6,617442922.4,644363877.9,805504968.2,244898173.7,286693951.9,1093466742,1111401002,1136715027,284373023.8,212551427.3,1198473167,322278586.3,554337460.8,955196176.8
M827T174_NEG,827.4076486,174.0347748,3668468.03,6057447.304,1874145.572,1345356.674,3488248.332,7274982.523,1054979.069,2584422.299,682710.9912,916458.4524,6560082.14,3403684.005,1556837.701,1522847.326,606580.6558
M828T114_NEG,827.5649434,114.0031204,2005404.879,3340319.781,2434053.051,4097333.775,2086851.659,2250551.229,2116120.938,3489960.11,5035714.906,2503638.885,1911432.48,2407774.262,1855494.481,1058950.826,2718917.654
M828T478_NEG,828.2715488,477.6879731,87641918.11,194693611.4,211094504.4,257364938.5,79104391.1,94967479.72,343931584.4,351666170.6,356647816.5,94339994.19,70916256.69,384916710.1,108665090.3,179837310.4,318786775.4
M829T478_NEG,829.2732097,477.6593475,27915399.85,61833548.27,67308418.12,83155617.61,25213014.84,30520252.2,111455138.5,112126347.6,112918445.4,30702805.65,22588785.52,119160414.4,33262864.64,57789379.01,98123823.3
M829T234_NEG,829.3866215,233.6803436,8389546.473,9169108.229,1616522.118,12992690.9,7778218.127,12680172.36,1598186.849,918002.7723,3134607.992,2084067.064,6749977.474,4646620.988,4463105.877,3336928.975,12383771.3
M830T478_NEG,830.2763872,477.938446,5783218.091,12180373.41,13466447.5,18580687.4,5181410.297,5957916.322,23404902.26,24161847.32,24537960.06,6181534.259,4774646.905,25113618.05,7436318.656,12410337.17,21316353
M830T234_NEG,830.3903025,233.8374405,3750213.992,4101498.06,495219.4451,1330505.713,2578689.642,3792262.102,348292.6529,1162158.507,1021585.164,680963.0578,2023671.703,1425396.012,1346225.188,811860.1385,946936.3867
M831T478_NEG,831.2786669,478.4944153,709573.07,1571043.317,1708215.509,1033355.163,430060.9339,477322.2914,2120524.963,2580529.11,2484973.989,365075.4301,303896.6665,2292001.964,587348.2781,1362299.868,1684869.048
